url,http_code,final_url,class,in_docs,err
http://book.douban.com/subject/25731506/,200,https://book.douban.com/subject/25731506/,ACTIVE,4.Recordingl history.md,
http://alistapart.com/article/accessibility-the-missing-ingredient,200,https://alistapart.com/article/accessibility-the-missing-ingredient/,ACTIVE,3.DESIGNING For The Web.md,
http://oralhistory.wzu.edu.cn/,403,http://oralhistory.wzu.edu.cn/,NEEDS_MANUAL_REVIEW,4.Recordingl history.md,
http://jds.cass.cn/Item/26775.aspx,404,http://jds.cass.cn/Item/26775.aspx,DEAD,4.Recordingl history.md,
http://www.google.com/design/spec/animation/meaningful-transitions.html,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://en.wikipedia.org/wiki/12_basic_principles_of_animation,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://proj3.sinica.edu.tw/~mhorh/,0,,NEEDS_MANUAL_REVIEW(network_unreachable),4.Recordingl history.md,max_attempts
http://www.ied.edu.hk/iedehp/,301,https://www.ied.edu.hk/iedehp/,REDIRECTED,4.Recordingl history.md,
https://medium.com/@pasql/transitional-interfaces-926eb80d64e3,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
https://useiconic.com/,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
https://storify.com/bombayhustle/lukew-tips-for-mobile-design,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
https://chrome.google.com/webstore/detail/whatfont/jabopobgcpjmedljpbcaablpmlmfcogm?hl=en,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
https://medium.com/@erikdkennedy/7-rules-for-creating-gorgeous-ui-part-1-559d4e805cda,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
https://webaccessibility.withgoogle.com/,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://en.wikipedia.org/wiki/Oral_history,0,,NEEDS_MANUAL_REVIEW(network_unreachable),4.Recordingl history.md,max_attempts
http://zh.wikipedia.org/wiki/%E5%8F%A3%E8%BF%B0%E6%AD%B7%E5%8F%B2,0,,NEEDS_MANUAL_REVIEW(network_unreachable),4.Recordingl history.md,max_attempts
http://developer.android.com/training/best-ui.html,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
